animal,sire,dam,generation,sex
1239,330,460,2,1
1240,335,325,2,0
1241,335,318,2,1
1242,335,325,2,0
1244,331,482,2,0
1245,335,318,2,1
1246,330,470,2,0
1247,335,483,2,1
1248,330,470,2,0
1252,330,470,2,0
1253,331,471,2,1
1254,326,464,2,0
1255,331,471,2,1
1256,326,464,2,0
1257,331,320,2,1
1258,335,466,2,0
1259,331,320,2,1
1260,335,466,2,0
1261,331,320,2,1
1262,331,478,2,0
1264,331,478,2,1
1265,335,325,2,1
1266,331,478,2,0
1267,335,325,2,1
1270,331,478,2,0
1271,330,470,2,1
1272,331,478,2,0
1274,335,489,2,0
1275,335,466,2,1
1276,335,489,2,0
1277,335,466,2,1
1278,335,489,2,0
1279,335,466,2,1
1280,335,489,2,0
1281,335,466,2,1
1282,335,489,2,0
1283,335,466,2,1
1284,335,301,2,0
1285,335,466,2,1
1286,335,301,2,0
1287,331,478,2,1
1288,331,321,2,0
1290,331,321,2,0
1291,335,489,2,1
1292,331,321,2,0
1293,335,489,2,1
1294,335,319,2,0
1295,335,489,2,1
1296,335,303,2,0
1297,335,301,2,1
1299,335,301,2,1
1300,335,303,2,0
1301,335,301,2,1
1302,335,303,2,0
1303,335,301,2,1
1304,335,303,2,0
1306,331,322,2,0
1307,331,321,2,1
1308,331,322,2,0
1309,335,319,2,1
1310,331,322,2,0
1311,335,319,2,1
1312,331,322,2,0
1313,335,319,2,1
1314,331,322,2,0
1315,335,319,2,1
1316,335,312,2,0
1317,335,319,2,1
1319,335,303,2,1
1320,335,312,2,0
1321,335,303,2,1
1322,335,312,2,0
1323,335,303,2,1
1324,335,312,2,0
1325,335,303,2,1
1326,311,467,2,0
1327,331,322,2,1
1328,311,467,2,0
1329,331,322,2,1
1331,331,322,2,1
1333,331,322,2,1
1334,311,467,2,0
1335,331,322,2,1
1337,331,322,2,1
1338,311,467,2,0
1339,311,467,2,1
1342,311,467,2,0
1343,311,467,2,1
1344,335,312,2,0
1345,311,467,2,1
1346,335,494,2,0
1347,311,467,2,1
1350,335,494,2,0
1354,335,323,2,0
1356,335,323,2,0
1359,335,312,2,1
1360,335,323,2,0
1362,335,323,2,0
1363,335,494,2,1
1364,335,323,2,0
1365,335,494,2,1
1366,335,316,2,0
1367,335,323,2,1
1368,335,316,2,0
1369,335,323,2,1
1372,335,316,2,0
1373,335,316,2,1
1374,335,316,2,0
1377,335,316,2,1
1380,335,315,2,0
1381,335,315,2,1
1382,335,315,2,0
1383,335,315,2,1
1384,335,315,2,0
1385,335,315,2,1
1386,335,315,2,0
1388,311,495,2,0
1390,311,495,2,0
1391,311,495,2,1
1392,311,495,2,0
1400,328,465,2,0
1401,328,465,2,1
1402,328,465,2,0
1404,328,465,2,0
1405,311,490,2,1
1406,328,465,2,0
1407,311,490,2,1
1409,311,490,2,1
1411,311,490,2,1
1414,311,490,2,0
1417,311,476,2,1
1420,311,476,2,0
1422,311,476,2,0
1423,311,476,2,1
1424,311,476,2,0
1425,311,476,2,1
1426,311,476,2,0
1427,311,493,2,1
1428,311,476,2,0
1429,311,493,2,1
1431,311,493,2,1
1434,311,493,2,0
1435,311,493,2,1
1436,311,493,2,0
1437,335,468,2,1
1438,311,493,2,0
1439,335,468,2,1
1441,335,468,2,1
1442,311,493,2,0
1443,335,468,2,1
1444,311,493,2,0
1445,335,485,2,1
1446,335,468,2,0
1448,335,468,2,0
1449,335,485,2,1
1450,335,468,2,0
1451,335,485,2,1
1452,335,468,2,0
1453,335,485,2,1
1454,335,468,2,1
1455,335,485,2,1
1456,335,485,2,0
1457,335,485,2,1
1458,335,485,2,0
1459,335,485,2,1
1460,335,485,2,0
1462,328,313,2,0
1465,328,313,2,1
1466,328,313,2,0
1467,335,475,2,1
1468,328,313,2,0
1469,335,475,2,1
1471,335,475,2,1
1473,328,160,2,1
1474,328,160,2,0
1475,328,160,2,1
1476,328,160,2,0
1477,328,160,2,1
1478,311,497,2,0
1479,328,160,2,1
1480,311,497,2,0
1481,328,160,2,1
1482,311,497,2,0
1483,328,160,2,1
1484,311,497,2,0
1485,328,160,2,1
1486,311,497,2,0
1489,311,497,2,1
1491,311,497,2,1
1493,311,497,2,1
1494,311,481,2,0
1495,311,497,2,1
1496,311,473,2,0
1497,311,481,2,1
1498,311,473,2,0
1499,311,481,2,1
1500,331,491,2,0
1501,311,481,2,1
1502,331,491,2,0
1503,311,473,2,1
1504,331,491,2,0
1505,311,473,2,1
1506,331,491,2,0
1507,311,473,2,1
1509,311,473,2,1
1510,331,459,2,0
1511,311,473,2,1
1512,331,459,2,0
1513,311,473,2,1
1517,331,491,2,1
1518,331,459,2,0
1519,331,491,2,1
1520,331,459,2,0
1521,331,491,2,1
1522,330,461,2,0
1523,331,491,2,1
1524,330,461,2,0
1525,331,491,2,1
1527,331,459,2,1
1528,330,461,2,0
1529,331,459,2,1
1531,331,459,2,1
1532,330,461,2,0
1533,331,459,2,1
1534,330,461,2,0
1536,330,480,2,0
1537,330,461,2,1
1538,330,480,2,0
1540,330,480,2,0
1541,330,461,2,1
1542,311,477,2,0
1543,330,461,2,1
1544,311,477,2,0
1546,311,477,2,0
1547,330,480,2,1
1549,330,480,2,1
1552,311,477,2,0
1553,311,477,2,1
1554,331,324,2,0
1558,331,324,2,0
1560,330,456,2,0
1561,331,324,2,1
1563,331,324,2,1
1564,330,456,2,0
1565,331,324,2,1
1566,330,456,2,0
1567,331,324,2,1
1568,330,456,2,0
1570,331,484,2,0
1574,311,314,2,0
1577,330,456,2,1
1578,311,314,2,0
1579,330,456,2,1
1580,311,314,2,0
1581,330,456,2,1
1582,326,460,2,0
1584,326,460,2,0
1585,331,484,2,1
1588,326,460,2,0
1589,311,314,2,1
1590,326,320,2,0
1591,311,314,2,1
1592,326,320,2,0
1593,311,314,2,1
1594,326,320,2,0
1596,326,320,2,0
1597,311,314,2,1
1599,326,460,2,1
1601,326,460,2,1
1602,326,318,2,0
1604,326,318,2,0
1606,326,318,2,0
1607,326,460,2,1
1608,326,318,2,0
1610,326,318,2,0
1613,326,460,2,1
1614,328,472,2,0
1615,326,320,2,1
1616,328,472,2,0
1617,326,320,2,1
1618,328,472,2,0
1619,326,320,2,1
1620,328,472,2,0
1623,326,320,2,1
1625,326,320,2,1
1626,328,478,2,0
1627,326,320,2,1
1628,328,478,2,0
1630,328,478,2,0
1631,326,320,2,1
1632,328,478,2,0
1633,326,318,2,1
1634,328,482,2,0
1635,326,318,2,1
1636,328,482,2,0
1638,328,482,2,0
1639,326,318,2,1
1640,328,482,2,0
1641,328,472,2,1
1642,328,470,2,0
1643,328,472,2,1
1644,328,470,2,0
1645,328,472,2,1
1646,328,470,2,0
1647,328,472,2,1
1649,328,472,2,1
1650,328,466,2,0
1651,328,472,2,1
1652,328,466,2,0
1654,328,466,2,0
1655,328,478,2,1
1656,328,466,2,0
1657,328,478,2,1
1658,328,466,2,0
1659,328,478,2,1
1660,328,466,2,0
1661,328,478,2,1
1662,328,466,2,0
1663,328,478,2,1
1664,328,466,2,0
1665,328,478,2,1
1669,328,482,2,1
1670,328,325,2,0
