"ID"	"wt_birth"	"car_wt"	"num_ribs"	"car_bf10"	"car_lma"	"sex"	"perc_duroc"	"sire"	"dam"	"litter"	"slgdt_cd"
"69"	1079	1.32	77.55	NA	25.4	41.29	"M"	0.45785746061095	331	490	9	1
"70"	1080	1.68	80.95	NA	25.4	42.26	"F"	0.489760774643446	331	485	12	2
"71"	1082	1.81	74.15	NA	12.7	44.19	"F"	0.514435483536855	331	485	12	2
"72"	1083	1.72	91.16	NA	20.32	45.16	"M"	0.529214742876242	328	493	10	3
"73"	1084	1.59	90.7	NA	22.86	50.97	"F"	0.522385989023951	331	485	12	3
"74"	1085	1.36	83.67	NA	27.94	43.23	"M"	0.456292749277259	328	493	10	2
"75"	1086	1.18	82.99	NA	17.78	49.35	"F"	0.433080783190637	331	485	12	3
"76"	1087	1.81	83.9	NA	22.86	38.06	"M"	0.472341883776172	328	493	10	1
"77"	1088	1.5	89.34	NA	20.32	51.94	"F"	0.524899803696237	331	485	12	3
"78"	1089	1.63	94.33	NA	25.4	50.97	"M"	0.371291903152919	328	493	10	3
"79"	1090	1.18	91.16	NA	21.59	50.97	"F"	0.471951936998184	331	485	12	3
"80"	1091	1.5	78.46	NA	27.94	34.84	"M"	0.562534545820686	328	493	10	2
"81"	1092	1.27	79.37	NA	22.86	39.68	"F"	0.51067068785301	331	485	12	1
"82"	1093	1.54	86.62	NA	35.56	38.06	"M"	0.482245197204756	328	493	10	1
"83"	1094	0.86	68.48	NA	17.78	33.55	"F"	0.485489817444148	331	485	12	3
"84"	1095	0.68	79.82	NA	33.02	33.87	"M"	0.485813065293657	331	160	11	1
"85"	1096	1.09	69.39	NA	NA	47.42	"F"	0.53687655294017	326	316	13	2
"86"	1097	1.27	84.81	NA	27.94	43.23	"M"	0.397233410431488	331	160	11	1
"87"	1098	1.13	83.9	NA	24.13	41.94	"F"	0.517721753566559	326	316	13	3
"88"	1099	1.59	86.17	NA	25.4	41.94	"M"	0.491642595206188	331	160	11	1
"89"	1100	1.04	69.84	NA	15.24	41.94	"F"	0.541647810179427	326	316	13	2
"90"	1101	1.91	86.17	NA	30.48	44.84	"M"	0.504509443160646	331	160	11	1
"91"	1103	1.45	84.81	NA	33.02	40.65	"M"	0.489596481799512	331	160	11	1
"92"	1104	2	83.45	NA	15.24	47.1	"F"	0.459204770722313	326	476	14	1
"93"	1105	2	92.52	NA	40.64	40.65	"M"	0.514136274891508	331	160	11	1
"94"	1107	1.59	72.79	NA	12.7	40	"M"	0.459516507246641	331	485	12	2
"95"	1108	1.59	85.26	NA	20.32	45.81	"F"	0.497645408156303	311	458	15	4
"96"	1109	1.18	60.77	NA	7.62	37.42	"M"	0.467582606525031	331	485	12	3
"97"	1110	1.63	78	NA	11.43	45.48	"F"	0.529319528971951	328	324	16	5
"98"	1111	1.13	70.52	NA	13.97	39.03	"M"	0.523689291162735	331	485	12	2
"99"	1112	1.72	79.37	NA	16.51	37.42	"F"	0.560142781019176	328	324	16	4
