ID,wt_birth,car_wt,num_ribs,car_bf10,car_lma,sex,perc_duroc,sire,dam,litter,slgdt_cd
1042,1.45,79.82,NA,22.86,42.58,F,0.537467680915641,335,314,6,1
1043,1.86,94.78,NA,38.1,40.32,M,0.467148315278571,326,323,5,1
1044,1.63,81.18,NA,29.21,40.32,F,0.759682736137417,328,313,7,3
1045,1.5,83.45,NA,25.4,43.87,M,0.426343682930127,326,323,5,1
1046,1.54,93.88,NA,22.86,43.55,F,0.517960252805559,331,481,8,3
1047,1.63,89.34,NA,34.29,37.74,M,0.46559450252907,326,323,5,1
1048,1.22,76.64,NA,17.78,46.13,F,0.502919770757059,331,481,8,3
1049,1.41,81.86,NA,21.59,43.87,M,0.456588686830039,326,323,5,2
1050,1.5,91.61,NA,25.4,42.58,F,0.509365100909747,331,490,9,3
1051,1.54,81.18,NA,35.56,37.74,M,0.572966452425348,326,323,5,1
1052,1.95,76.64,NA,17.78,37.42,F,0.498915861696007,331,490,9,1
1053,1.18,79.37,NA,27.94,41.29,M,0.456246232783997,326,323,5,1
1054,1.54,78,NA,22.86,38.06,F,0.536701777201211,331,490,9,1
1055,1.77,79.82,NA,25.4,30.32,M,0.814625206910484,328,313,7,1
1056,1.81,78,NA,22.86,39.68,F,0.429862770778481,331,490,9,1
1057,1.5,81.18,NA,20.32,43.55,M,0.697557166965186,328,313,7,3
1058,1.13,72.11,NA,12.7,44.84,F,0.433677341858121,328,493,10,2
1059,1.41,82.54,NA,27.94,38.39,M,0.717871764836025,328,313,7,3
1060,1.63,70.75,NA,15.24,39.03,F,0.535438070257965,328,493,10,2
1061,1.5,85.71,NA,25.4,42.26,M,0.725284189619733,328,313,7,3
1062,1.63,80.73,NA,24.13,40,F,0.53853164565999,328,493,10,1
1063,1.72,83.45,NA,17.78,45.16,M,NA,328,313,7,1
1064,1.59,83.45,NA,17.78,39.68,F,0.531036968630974,328,493,10,3
1066,1.59,82.09,NA,12.7,48.39,F,0.512465831135328,328,493,10,3
1067,1.41,89.8,NA,33.02,42.58,M,0.523552012760092,331,481,8,3
1068,1.45,91.61,NA,29.21,40.97,F,0.572360915562948,328,493,10,3
1069,1.86,76.64,NA,20.32,39.35,M,0.397751185306088,331,481,8,1
1071,1.72,78.91,NA,30.48,40.97,M,0.427583695522518,331,481,8,1
1072,1.36,85.26,NA,20.32,42.9,F,0.488159672071483,328,493,10,3
1073,1.41,88.89,NA,27.94,37.42,M,0.602825031578085,331,481,8,3
1074,1.5,83.45,NA,16.51,45.81,F,0.465781581335567,331,160,11,1
1075,1.81,95.69,NA,17.78,54.84,M,0.443011641096297,331,481,8,3
1076,1.45,83.9,NA,22.86,44.84,F,0.520743313529101,331,160,11,1
1077,1.81,79.37,NA,27.94,31.29,M,0.553435470200177,331,490,9,1
1078,1.63,75.74,NA,19.05,39.68,F,0.597450188613992,331,160,11,1
1079,1.32,77.55,NA,25.4,41.29,M,0.45785746061095,331,490,9,1
1080,1.68,80.95,NA,25.4,42.26,F,0.489760774643446,331,485,12,2
1082,1.81,74.15,NA,12.7,44.19,F,0.514435483536855,331,485,12,2
1083,1.72,91.16,NA,20.32,45.16,M,0.529214742876242,328,493,10,3
1084,1.59,90.7,NA,22.86,50.97,F,0.522385989023951,331,485,12,3
1085,1.36,83.67,NA,27.94,43.23,M,0.456292749277259,328,493,10,2
1086,1.18,82.99,NA,17.78,49.35,F,0.433080783190637,331,485,12,3
1087,1.81,83.9,NA,22.86,38.06,M,0.472341883776172,328,493,10,1
1088,1.5,89.34,NA,20.32,51.94,F,0.524899803696237,331,485,12,3
1089,1.63,94.33,NA,25.4,50.97,M,0.371291903152919,328,493,10,3
1090,1.18,91.16,NA,21.59,50.97,F,0.471951936998184,331,485,12,3
1091,1.5,78.46,NA,27.94,34.84,M,0.562534545820686,328,493,10,2
1092,1.27,79.37,NA,22.86,39.68,F,0.51067068785301,331,485,12,1
1093,1.54,86.62,NA,35.56,38.06,M,0.482245197204756,328,493,10,1
1094,0.86,68.48,NA,17.78,33.55,F,0.485489817444148,331,485,12,3
1095,0.68,79.82,NA,33.02,33.87,M,0.485813065293657,331,160,11,1
1096,1.09,69.39,NA,NA,47.42,F,0.53687655294017,326,316,13,2
1097,1.27,84.81,NA,27.94,43.23,M,0.397233410431488,331,160,11,1
1098,1.13,83.9,NA,24.13,41.94,F,0.517721753566559,326,316,13,3
1099,1.59,86.17,NA,25.4,41.94,M,0.491642595206188,331,160,11,1
1100,1.04,69.84,NA,15.24,41.94,F,0.541647810179427,326,316,13,2
1101,1.91,86.17,NA,30.48,44.84,M,0.504509443160646,331,160,11,1
1103,1.45,84.81,NA,33.02,40.65,M,0.489596481799512,331,160,11,1
1104,2,83.45,NA,15.24,47.1,F,0.459204770722313,326,476,14,1
1105,2,92.52,NA,40.64,40.65,M,0.514136274891508,331,160,11,1
1107,1.59,72.79,NA,12.7,40,M,0.459516507246641,331,485,12,2
1108,1.59,85.26,NA,20.32,45.81,F,0.497645408156303,311,458,15,4
1109,1.18,60.77,NA,7.62,37.42,M,0.467582606525031,331,485,12,3
1110,1.63,78,NA,11.43,45.48,F,0.529319528971951,328,324,16,5
1111,1.13,70.52,NA,13.97,39.03,M,0.523689291162735,331,485,12,2
1112,1.72,79.37,NA,16.51,37.42,F,0.560142781019176,328,324,16,4
1113,1.81,92.06,NA,27.94,45.16,M,0.630506235581189,326,316,13,2
1114,0.91,79.82,NA,15.24,45.48,F,0.494186841265182,328,324,16,6
1115,1.54,78.46,NA,25.4,36.77,M,0.491802244699803,326,316,13,1
1116,1.22,73.92,NA,15.24,43.23,F,0.385387976288116,328,324,16,5
1117,1.59,84.81,NA,30.48,40.32,M,0.480329856567501,326,316,13,3
1118,1.09,76.19,NA,22.86,39.35,F,0.491712021338717,328,324,16,4
1119,1.18,83.45,NA,27.94,40.65,M,0.448916680312909,326,316,13,3
1120,1.5,86.62,NA,20.32,50.65,F,0.528060481499548,335,463,17,6
1121,1.13,86.17,NA,30.48,43.87,M,0.521020244726716,326,316,13,3
1122,1.5,77.1,NA,15.24,40.65,F,0.492514956121251,335,461,18,4
1123,1.04,71.66,NA,34.29,32.26,M,0.48204524859993,326,316,13,2
1124,1.63,86.17,NA,22.86,36.13,F,0.503591503677959,335,461,18,6
1125,1.27,88.44,NA,30.48,45.48,M,0.485849038783729,326,316,13,3
1126,1.27,81.63,NA,20.32,48.06,F,0.458374188871216,335,461,18,4
1128,1.45,86.17,NA,15.24,44.52,F,0.466060098705207,335,461,18,6
1130,1.91,78.46,NA,16.51,41.29,F,0.509890091285706,335,461,18,4
1131,1.77,92.52,NA,30.48,35.48,M,0.523613311051087,326,476,14,1
1133,1.41,77.1,NA,27.94,37.1,M,0.491618901906206,326,476,14,1
1134,1.09,76.19,NA,19.05,47.1,F,0.488248120988978,311,473,19,5
1135,1.63,86.62,NA,26.67,37.74,M,0.516136369028359,311,458,15,4
1136,1.68,81.86,NA,20.32,42.26,F,0.404700141357859,311,473,19,5
1137,1.36,95.69,NA,17.78,45.48,M,0.564246683935848,311,458,15,6
1138,1.32,78.91,NA,12.7,44.84,F,0.506063250321319,311,473,19,4
1139,1.5,78,NA,30.48,30.32,M,0.515799097100445,311,458,15,4
1140,1.5,84.81,NA,17.78,44.19,F,0.445221770586891,335,472,20,4
1141,1.27,74.83,NA,15.24,40.65,M,0.531986880702872,311,458,15,4
1142,1.59,83.45,NA,13.97,41.61,F,0.549662786684473,335,472,20,4
1143,1.36,78.46,NA,25.4,35.16,M,0.537519883032743,311,458,15,6
1144,1.13,89.8,NA,25.4,46.77,F,0.447348234874261,335,472,20,6
1145,1.77,75.96,NA,27.94,39.35,M,0.542307258272154,328,324,16,5
1146,1.81,86.17,NA,15.24,46.13,F,0.511328718539463,326,456,21,6
1147,1.59,74.83,NA,20.32,37.1,M,0.510274636701379,328,324,16,5
1148,2,82.54,NA,25.4,45.16,F,0.46206442165208,326,456,21,4
